job_position,technology_skills,knowledge,skills
, Microsoft Exchange Server Enterprise application integration software ,,
, Atlassian Bamboo  ,,
, Extensible markup language XML  ,,
, IBM InfoSphere DataStage  ,,
, IBM WebSphere Enterprise resource planning ERP software   ,,
, Microsoft Dynamics GP  ,,
, NetSuite ERP  ,,
, Oracle PeopleSoft  ,,
, SAP  (see all 10 examples)Enterprise system management software ,,
, IBM Power Systems software  ,,
, Splunk Enterprise Expert system software ,,
, Ansible software File versioning software ,,
, Apache Subversion SVN  ,,
, Git Financial analysis software ,,
, Delphi Technology  ,,
, Oracle E-Business Suite Financials Graphical user interface development software ,,
, Altia Design Graphics or photo imaging software ,,
, Adobe Systems Adobe Creative Cloud  ,,
, Adobe Systems Adobe Fireworks,,
, Adobe Systems Adobe Photoshop  ,,
, Microsoft Visio  (see all 5 examples)Human resources software ,,
, Human resource management software HRMS  ,,
, Oracle Taleo Industrial control software ,,
, Supervisory control and data acquisition SCADA software Information retrieval or search software ,,
, LexisNexis Internet browser software ,,
, Web browser software Internet directory services software ,,
, Microsoft Active Directory LAN software ,,
, Local area network LAN software Map creation software ,,
, ESRI ArcGIS software  ,,
, Geographic information system GIS software Medical software ,,
, Epic Systems  ,,
, MEDITECH software Metadata management software ,,
, CA Erwin Data Modeler Network conferencing software ,,
, IBM Lotus SameTime Network monitoring software ,,
, Nagios  ,,
, Network intrusion prevention systems NIPS,,
, Snort,,
, Wireshark Network security and virtual private network VPN equipment software ,,
, Firewall software Network security or virtual private network VPN management software ,,
, Intrusion detection system IDS,,
, Virtual private networking VPN software Object or component oriented development software ,,
, C++  ,,
, Oracle Java  ,,
, Python  ,,
, Swift  (see all 16 examples)Object oriented data base management software ,,
, Hibernate ORM  ,,
, PostgreSQL Office suite software ,,
, Microsoft Office Operating system software ,,
, Linux  ,,
, Shell script  ,,
, Ubuntu  ,,
, UNIX  (see all 14 examples)Portal server software ,,
, Apache HTTP Server Presentation software ,,
, Microsoft PowerPoint Program testing software ,,
, Hewlett Packard LoadRunner  ,,
, JUnit  ,,
, Selenium Project management software ,,
, 37signals Basecamp,,
, Confluence  ,,
, Microsoft SharePoint  ,,
, Oracle Primavera Enterprise Project Portfolio Management  (see all 5 examples)Requirements analysis and system architecture software ,,
, Unified modeling language UML Sales and marketing software ,,
, Google AdWords  ,,
, Marketo Marketing Automation Spreadsheet software ,,
, Microsoft Excel Storage networking software ,,
, Storage area network SAN software Transaction security and virus protection software ,,
, McAfee  ,,
, Symantec Transaction server software ,,
, BEA Tuxedo,,
, Customer information control system CICS  ,,
, Microsoft Internet Information Service IIS Video creation and editing software ,,
, Apple Final Cut Pro WAN switching software and firmware ,,
, Wide area network WAN software Web page creation and editing software ,,
, Adobe Systems Adobe Dreamweaver Web platform development software ,,
, AJAX  ,,
, Extensible HyperText Markup Language XHTML  ,,
, Microsoft Active Server Pages ASP  ,,
, Node.js  (see all 28 examples),,
Computer User Support Specialists,Access software ,Computers and Electronics,Active Listening
, Citrix  ,Customer and Personal Service,Reading Comprehension
, Mac HelpMate Accounting software ,English Language,Speaking
, Sage 50 Accounting,Telecommunications,Complex Problem Solving
, Tax software Administration software ,Engineering and Technology,Critical Thinking
, Element management software,Public Safety and Security,Writing
, SolarWinds Analytical or scientific software ,,Judgment and Decision Making
, SAS  ,,Active Learning
, StataCorp Stata Application server software ,,Systems Analysis
, Docker  ,,Instructing
, GitHub  ,,Monitoring
, Oracle WebLogic Server  ,,Service Orientation
, Red Hat WildFly Authentication server software ,,Time Management
, Password management software Backup or archival software ,,
, Disaster recovery software,,
, Microsoft Volume Shadow Copy Service,,
, Symantec LiveState,,
, Veritas NetBackup Business intelligence and data analysis software ,,
, IBM Cognos Impromptu  ,,
, MicroStrategy  ,,
, Qlik Tech QlikView  ,,
, Tableau  (see all 5 examples)Calendar and scheduling softwareCommunications server software ,,
, IBM Domino Computer aided design CAD software   ,,
, Autodesk AutoCAD  ,,
, Autodesk Revit  ,,
, Bentley MicroStation  ,,
, Dassault Systemes SOLIDWORKS Configuration management software ,,
, Chef  ,,
, Deployment software,,
, Perforce Helix software  ,,
, Puppet  (see all 6 examples)Content workflow software ,,
, Atlassian JIRA Customer relationship management CRM software ,,
, Salesforce software Data base management system software ,,
, Apache Hadoop  ,,
, Elasticsearch  ,,
, NoSQL  ,,
, Teradata Database  (see all 9 examples)Data base reporting software ,,
, Microsoft SQL Server Reporting Services  ,,
, SAP Crystal Reports Data base user interface and query software ,,
, FileMaker Pro,,
, Microsoft Access  ,,
, MySQL  ,,
, Oracle JDBC  (see all 13 examples)Desktop communications software ,,
, CrossTec NetOp Remote Control,,
, Remote control software,,
, Stac Software ReachOut,,
, Symantec pcAnywhere Desktop publishing software ,,
, Adobe Systems Adobe Distiller,,
, Adobe Systems Adobe InDesign  ,,
, Microsoft Publisher Development environment software ,,
, Apache Ant  ,,
, C  ,,
, Eclipse IDE  ,,
, Microsoft PowerShell  (see all 15 examples)Document management software ,,
, Adobe Systems Adobe Acrobat Electronic mail software ,,
, IBM Notes  ,,
, Microsoft Exchange Server  ,,
, Microsoft Outlook Enterprise application integration software ,,
, Extensible markup language XML  ,,
, IBM InfoSphere DataStage  ,,
, IBM WebSphere Enterprise resource planning ERP software   ,,
, Microsoft Dynamics GP  ,,
, NetSuite ERP  ,,
, Oracle Fusion Applications  ,,
, SAP  (see all 9 examples)Enterprise system management software ,,
, IBM Power Systems software  ,,
, Splunk Enterprise Expert system software ,,
, Ansible software File versioning software ,,
, Apache Subversion SVN  ,,
, Git Filesystem software ,,
, Desktop partitioning software,,
, Symantec Norton Utilities Financial analysis software ,,
, Oracle E-Business Suite Financials Graphics or photo imaging software ,,
, Adobe Systems Adobe Creative Cloud  ,,
, Adobe Systems Adobe Photoshop  ,,
, Microsoft Visio  ,,
, Trimble SketchUp Pro  (see all 7 examples)Helpdesk or call center software ,,
, Call center software,,
, Help desk software Human resources software ,,
, Human resource management software HRMS  ,,
, Oracle Taleo Industrial control software ,,
, Supervisory control and data acquisition SCADA software Information retrieval or search software ,,
, Information systems integration software,,
, LexisNexis Internet browser softwareInternet directory services software ,,
, Active directory software,,
, Domain name system DNS,,
, Network directory services software License management softwareMap creation software ,,
, ESRI ArcGIS software  ,,
, Geographic information system GIS software Medical software ,,
, Epic Systems  ,,
, MEDITECH software Network monitoring software ,,
, Dartware InterMapper,,
, Nagios  ,,
, Wireshark Network operation system software ,,
, Remote install server software Network security or virtual private network VPN management software ,,
, Virtual private networking VPN software Object or component oriented development software ,,
, jQuery  ,,
, Microsoft ActiveX  ,,
, Objective C  ,,
