job_position,technology_skills,knowledge,skills
, Adobe Systems Adobe Acrobat Electronic mail software ,Sales and Marketing,Reading Comprehension
, Email software Internet browser software ,Communications and Media,Management of Personnel Resources
, Web browser software Office suite software ,Personnel and Human Resources,Service Orientation
, Microsoft Office Presentation software ,,Writing
, Microsoft PowerPoint Spreadsheet software ,,Active Learning
, Microsoft Excel Time accounting software ,,Judgment and Decision Making
, Payroll software Word processing software ,,Monitoring
, Microsoft Word ,,Persuasion
,,,Complex Problem Solving
,,,Instructing
,,,Learning Strategies
,,,Negotiation
,,,Time Management
,,,Systems Analysis
Archivists,Data base user interface and query software ,English Language,Reading Comprehension
, DiMeMa CONTENTdm,History and Archeology,Active Listening
, Gallery Systems The Museum System,Computers and Electronics,Writing
, Microsoft Access  ,Customer and Personal Service,Judgment and Decision Making
, PREMIS  (see all 8 examples)Development environment software ,Administration and Management,Active Learning
, Encoded Archival System EAD Document management software ,Clerical,Critical Thinking
, Adobe Systems Adobe Acrobat Electronic mail software ,Law and Government,Complex Problem Solving
, Microsoft Outlook Enterprise application integration software ,,Speaking
, Extensible markup language XML Graphics or photo imaging software ,,Time Management
, Adobe Systems Adobe Photoshop  ,,Coordination
, Corel Paint Shop Pro Internet browser software ,,Monitoring
, Web browser software Office suite software ,,Service Orientation
, Microsoft Office Presentation software ,,Social Perceptiveness
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Video creation and editing software ,,
, Adobe Systems Adobe Premiere Pro,,
, Apple Final Cut Pro Web platform development software ,,
, Dynamic hypertext markup language DHTML,,
, Hypertext markup language HTML Word processing software ,,
, Microsoft Word ,,
Audio-Visual and Multimedia Collections Specialists,Data base user interface and query software ,Computers and Electronics,Active Listening
, Microsoft Access Desktop publishing software ,Communications and Media,Critical Thinking
, Adobe Systems Adobe InDesign  ,Customer and Personal Service,Judgment and Decision Making
, Microsoft Publisher Document management software ,English Language,Speaking
, Adobe Systems Adobe Acrobat Electronic mail software ,Education and Training,Time Management
, Microsoft Outlook Graphics or photo imaging software ,Telecommunications,Troubleshooting
, Adobe Systems Adobe Photoshop  ,Administration and Management,Complex Problem Solving
, Microsoft Visio Internet browser software ,Clerical,Coordination
, Web browser software Office suite software ,,Equipment Maintenance
, Microsoft Office Presentation software ,,Writing
, Microsoft PowerPoint Spreadsheet software ,,Active Learning
, Microsoft Excel Video creation and editing software ,,Instructing
, Apple Final Cut Pro Word processing software ,,Learning Strategies
, Microsoft Word ,,Monitoring
,,,Operation Monitoring
,,,Reading Comprehension
,,,Systems Analysis
Curators,Calendar and scheduling software ,English Language,Reading Comprehension
, Scheduling software Computer aided design CAD software   ,History and Archeology,Speaking
, Autodesk AutoCAD Data base user interface and query software ,Fine Arts,Active Listening
, Artsystems Collections,Administration and Management,Writing
, FileMaker Pro,Sociology and Anthropology,Critical Thinking
, Microsoft Access  ,Communications and Media,Complex Problem Solving
, Vernon Systems Limited Vernon CMS  (see all 14 examples)Desktop publishing software ,Clerical,Active Learning
, Adobe Systems Adobe InDesign Development environment software ,Education and Training,Judgment and Decision Making
, Microsoft Visual Studio Electronic mail software ,Customer and Personal Service,Monitoring
, Microsoft Outlook Graphics or photo imaging software ,Geography,Systems Analysis
, Adobe Systems Adobe Freehand,Philosophy and Theology,Learning Strategies
, Adobe Systems Adobe Photoshop  ,,Social Perceptiveness
, Graphics software,,Systems Evaluation
, Microsoft Paint Internet browser software ,,Coordination
, Web browser software Office suite software ,,Time Management
, Corel WordPerfect,,Instructing
, Microsoft Office Presentation software ,,Management of Material Resources
, Microsoft PowerPoint Project management software ,,Management of Personnel Resources
, Eloquent Systems Eloquent Spreadsheet software ,,Negotiation
, Microsoft Excel Word processing software ,,Persuasion
, Microsoft Word ,,
"Educational, Guidance, School, and Vocational Counselors",Analytical or scientific software ,Therapy and Counseling,Active Listening
, ACT WorkKeys,Psychology,Social Perceptiveness
, Computerized diagnostic programs,Education and Training,Speaking
, Computerized testing programs,English Language,Reading Comprehension
, Counseling software  (see all 7 examples)Customer relationship management CRM software ,Clerical,Service Orientation
, Blackbaud The Raiser's Edge Data base reporting software ,Customer and Personal Service,Critical Thinking
, Microsoft SQL Server Reporting Services Data base user interface and query software ,Sociology and Anthropology,Writing
, FileMaker Pro,,Active Learning
, Microsoft Access  ,,Complex Problem Solving
, Social Solutions ETO,,Coordination
, Student information systems SIS  (see all 21 examples)Desktop publishing software ,,Instructing
, Microsoft Publisher Development environment software ,,Judgment and Decision Making
, Adobe Systems Adobe ActionScript Electronic mail software ,,Persuasion
, Email software,,Learning Strategies
, Microsoft Outlook  ,,Monitoring
, Yahoo! Email Enterprise resource planning ERP software   ,,Negotiation
, Microsoft Dynamics  ,,Time Management
, Oracle PeopleSoft Graphics or photo imaging software ,,Systems Analysis
, Adobe Systems Adobe Photoshop Human resources software ,,Systems Evaluation
, Oracle Taleo Information retrieval or search software ,,Management of Personnel Resources
, LexisNexis Instant messaging softwareInternet browser software ,,
, Microsoft Internet Explorer,,
, Web browser software Medical software ,,
, Athena Software Penelope Case Management Network conferencing software ,,
, Chat software Network monitoring software ,,
, Computer-assisted live supervision Office suite software ,,
, Microsoft Office Presentation software ,,
, Blackboard Wimba,,
, Microsoft PowerPoint  ,,
, Prezi Project management software ,,
, Microsoft SharePoint  ,,
, Palm Pal Transana,,
, Productivity software Spreadsheet software ,,
, EZAnalyze,,
, Microsoft Excel Video conferencing software ,,
, Citrix GoToMeeting Web page creation and editing software ,,
, Facebook  ,,
, LinkedIn  ,,
, Orbius,,
, Web page design and editing software Web platform development software ,,
, Ext JS Word processing software ,,
, Microsoft Word ,,
Instructional Coordinators,Charting software ,Education and Training,Learning Strategies
, SmartDraw VP Computer based training software ,English Language,Instructing
, Adobe Systems Adobe Captivate,Administration and Management,Speaking
, Articulate Rapid E-Learning Studio,Mathematics,Writing
, Moodle Data base management system software ,Computers and Electronics,Active Listening
, Oracle PL/SQL Data base user interface and query software ,Customer and Personal Service,Monitoring
, Blackboard  ,Public Safety and Security,Reading Comprehension
, Structured query language SQL Desktop publishing software ,Personnel and Human Resources,Active Learning
, Adobe Systems Adobe FrameMaker,Communications and Media,Complex Problem Solving
, Adobe Systems Adobe InDesign  ,Sociology and Anthropology,Coordination
, Microsoft Publisher Development environment software ,Philosophy and Theology,Critical Thinking
, Adobe Systems Adobe ActionScript Document management software ,Psychology,Social Perceptiveness
, Adobe Systems Adobe Acrobat Electronic mail software ,Clerical,Judgment and Decision Making
, Email software Enterprise application integration software ,,Service Orientation
, Extensible markup language XML Graphics or photo imaging software ,,Time Management
