Account Executive,Accounting,Accounting Software,Communication Skills,Microsoft Word,Microsoft Office,Accounting System,Interpersonal Skills,Financial Knowledge,MYOB,Analytical Skills
Accountant,Accounting,Communication Skills,Leadership Skills,Reporting,Interpersonal Skills,Financial Knowledge,Analytical Skills,Tax Analysis,Accounting Software,Problem Solving
Architect,Architectural Codes,Design,AutoCAD,Adobe Photoshop,CAD,Communication Skills,Leadership In Energy & Environmental Design,3D Graphics,Project Management,Sketching
Assistant Manager,Leadership Skills,Communication Skills,Interpersonal Skills,Marketing,Planning,Microsoft Word,Customer Service,Problem Solving,Presentation Skills,Business Administration,Negotiation
Barista,Communication Skills,Coffee Making,Latte Art,Customer Service,Leadership Skills,Management Skills,Brewing,Interpersonal Skills
Branch Manager,Leadership Skills,Sales,Communication Skills,Marketing,Business Administration,Interpersonal Skills,Business Acumen
Business Development Executive,Salesforce,Marketing,Communication Skills,Interpersonal Skills,Business Development,Business Administration,Presentation Skills,Microsoft Word,Negotiation
Business Development Manager,Salesforce,Marketing,Communication Skills,Business Development,Leadership Skills,Interpersonal Skills,Presentation Skills,Negotiation,Planning
Buyer,SAP,Negotiation,Materials Procurement,Purchasing,Procurement,Sourcing,Problem Solving,Communication Skills,Analytical Skills,Expediting
Cashier,Cashiering,Customer Service,Communication Skills,Interpersonal Skills,Sales,Cash Handling
Chargeman,Maintenance,Leadership Skills,Communication Skills,Interpersonal Skills,Building Maintenance,Preventive Maintenance
Civil Engineer,Engineering Knowledge,Civil Engineering,Design Technique,AutoCAD,Communication Skills,Consulting,Leadership Skills,Interpersonal Skills
Construction Manager,Leadership Skills,Interpersonal Skills,Planning,Construction Management,Microsoft Project,Communication Skills,Project Management
Contract Executive,Quantity Surveying,Communication Skills,Negotiation,Interpersonal Skills,Microsoft Office,Documentation
Conveyancing Clerk,Documentation,Banking Loan Documentation,Litigation,Microsoft Word,Typing,Communication Skills,Sub-sale SPA Preparation
Design Engineer,Engineering Knowledge,Design,AutoCAD,Mechanical Engineering,CAD,Civil Engineering,Structural Engineering,Interpersonal Skills
Designer,Design,Adobe Photoshop,Adobe Illustrator,AutoCAD,3D Design,Interior Design,CAD,Graphic Design
Document Controller,Documentation,Microsoft Word,Planning,Communication Skills,Interpersonal Skills,Document Management
Draughtsman,AutoCAD,Engineering,CAD,Set Designs Drawing,3D Drawing,Mechanical Engineering,Communication Skills,Adobe Photoshop
Driver,Class D License,Class B2 License,Communication Skills,Interpersonal Skills,Vehicle Maintenance,Driving Skill
Electrical Engineer,Engineering Knowledge,Electrical Engineering,PLC,Circuits Design,Equipment Maintenance,AutoCAD,Communication Skills,Leadership Skills,Electronic Engineering
Finance Manager,Accounting,Leadership Skills,Financial Knowledge,Communication Skills,Interpersonal Skills,Reporting,Tax Planning,Analytical Skills,Problem Solving
Financial Controller,Accounting,Leadership Skills,Financial Knowledge,Interpersonal Skills,Communication Skills,Credit Control,ERP,Reporting,Business Acumen,Analytical Skills
Front Office Assistant,Communication Skills,Interpersonal Skills,Customer Service,Etiquette,Hotel Management,Microsoft Office,Problem Solving,Written Communication,Office Operations
General Manager,Leadership Skills,Communication Skills,Interpersonal Skills,Marketing,Planning,Problem Solving,Business Acumen
Graphic Designer,Adobe Photoshop,Adobe Illustrator,Design,Graphic Design,Adobe Indesign,Adobe Flash,Printing
HR & Admin Executive,Payroll Calculation,Filing,Tax,Purchasing,Database,Documentation
Interior Designer,Design,3D Design,AutoCAD,Adobe Photoshop,Interior Design,Adobe Max,3D Studio Max,Adobe Illustrator,CAD,Communication Skills
IT Executive,Computer Science,Information Technology,SQL,Programming,Windows,Networking,Troubleshooting,Interpersonal Skills,Database,Communication Skills
